Name,Pclass,Sex,Age,Siblings/Spouses Aboard,Parents/Children Aboard,Fare,Survived
Mr. William James Elsbury,3,male,47,0,0,7.25,0
Miss. Mary Bourke,3,female,40,0,2,7.75,0
Mr. John Henry Chapman,2,male,37,1,0,26,0
Mr. Jean Baptiste Van Impe,3,male,36,1,1,24.15,0
Miss. Jessie Wills Leitch,2,female,31,0,0,33,1
Mr. Alfred Johnson,3,male,49,0,0,0,0
Mr. Hanna Boulos,3,male,18,0,0,7.225,0
Sir. Cosmo Edmund Duff Gordon,1,male,49,1,0,56.9292,1
Mrs. Sidney Samuel (Amy Frances Christy) Jacobsohn,2,female,24,2,1,27,1
Mr. Petco Slabenoff,3,male,42,0,0,7.8958,0
Mr. Charles H Harrington,1,male,37,0,0,42.4,0
Mr. Ernst William Torber,3,male,44,0,0,8.05,0
Mr. Harry Homer,1,male,35,0,0,26.55,1
Mr. Edvard Bengtsson Lindell,3,male,36,1,0,15.55,0
Mr. Milan Karaic,3,male,30,0,0,7.8958,0
Mr. Robert Williams Daniel,1,male,27,0,0,30.5,1
Mrs. Joseph (Juliette Marie Louise Lafargue) Laroche,2,female,22,1,2,41.5792,1
Miss. Elizabeth W Shutes,1,female,40,0,0,153.4625,1
Mrs. Anders Johan (Alfrida Konstantia Brogren) Andersson,3,female,39,1,5,31.275,0
Mr. Jose Neto Jardin,3,male,21,0,0,7.05,0
Miss. Margaret Jane Murphy,3,female,18,1,0,15.5,1
Mr. John Horgan,3,male,22,0,0,7.75,0
Mr. William Alfred Brocklebank,3,male,35,0,0,8.05,0
Miss. Alice Herman,2,female,24,1,2,65,1
Mr. Ernst Gilbert Danbom,3,male,34,1,1,14.4,0
Mrs. William Arthur (Cordelia K Stanlick) Lobb,3,female,26,1,0,16.1,0
Miss. Marion Louise Becker,2,female,4,2,1,39,1
Mr. Lawrence Gavey,2,male,26,0,0,10.5,0
Mr. Antoni Yasbeck,3,male,27,1,0,14.4542,0
Mr. Edwin Nelson Jr Kimball,1,male,42,1,0,52.5542,1
Mr. Sahid Nakid,3,male,20,1,1,15.7417,1
Mr. Henry Damsgaard Hansen,3,male,21,0,0,7.8542,0
Mr. David John Bowen,3,male,21,0,0,16.1,0
Mr. Frederick Sutton,1,male,61,0,0,32.3208,0
Rev. Charles Leonard Kirkland,2,male,57,0,0,12.35,0
Miss. Gretchen Fiske Longley,1,female,21,0,0,77.9583,1
Mr. Guentcho Bostandyeff,3,male,26,0,0,7.8958,0
Mr. Patrick D O'Connell,3,male,18,0,0,7.7333,0
Mr. Algernon Henry Wilson Barkworth,1,male,80,0,0,30,1
Mr. Johan Svensson Lundahl,3,male,51,0,0,7.0542,0
Dr. Max Stahelin-Maeglin,1,male,32,0,0,30.5,1
Mr. William Henry Marsh Parr,1,male,30,0,0,0,0
Miss. Mabel Skoog,3,female,9,3,2,27.9,0
Miss. Mary Davis,2,female,28,0,0,13,1
Mr. Antti Gustaf Leinonen,3,male,32,0,0,7.925,0
Mr. Harvey Collyer,2,male,31,1,1,26.25,0
Mrs. Juha (Maria Emilia Ojala) Panula,3,female,41,0,5,39.6875,0
Mr. Percival Thorneycroft,3,male,37,1,0,16.1,0
Mr. Hans Peder Jensen,3,male,20,0,0,7.8542,0
Mlle. Emma Sagesser,1,female,24,0,0,69.3,1
Miss. Margit Elizabeth Skoog,3,female,2,3,2,27.9,0
Mr. Choong Foo,3,male,32,0,0,56.4958,1
Miss. Eugenie Baclini,3,female,0.75,2,1,19.2583,1
Mr. Henry Sleeper Harper,1,male,48,1,0,76.7292,1
Mr. Liudevit Cor,3,male,19,0,0,7.8958,0
Col. Oberst Alfons Simonius-Blumer,1,male,56,0,0,35.5,1
Mr. Edward Willey,3,male,21,0,0,7.55,0
Miss. Amy Zillah Elsie Stanley,3,female,23,0,0,7.55,1
Mr. Mito Mitkoff,3,male,23,0,0,7.8958,0
Miss. Elsie Doling,2,female,18,0,1,23,1
Mr. Johannes Halvorsen Kalvik,3,male,21,0,0,8.4333,0
Miss. Hanora O'Leary,3,female,16,0,0,7.8292,1
Miss. Hanora Hegarty,3,female,18,0,0,6.75,0
Mr. Leonard Mark Hickman,2,male,24,2,0,73.5,0
Mr. Alexander Radeff,3,male,27,0,0,7.8958,0
Mrs. John (Catherine) Bourke,3,female,32,1,1,15.5,0
Mr. George Floyd Eitemiller,2,male,23,0,0,13,0
Mr. Arthur Webster Newell,1,male,58,0,2,113.275,0
Dr. Henry William Frauenthal,1,male,50,2,0,133.65,1
Mr. Mohamed Badt,3,male,40,0,0,7.225,0
Mr. Edward Pomeroy Colley,1,male,47,0,0,25.5875,0
Mr. Peju Coleff,3,male,36,0,0,7.4958,0
Mr. Eino William Lindqvist,3,male,20,1,0,7.925,1
Mr. Lewis Hickman,2,male,32,2,0,73.5,0
Mr. Reginald Fenton Butler,2,male,25,0,0,13,0
Mr. Knud Paust Rommetvedt,3,male,49,0,0,7.775,0
Mr. Jacob Cook,3,male,43,0,0,8.05,0
Mrs. Elmer Zebley (Juliet Cummins Wright) Taylor,1,female,48,1,0,52,1
Mrs. Thomas William Solomon (Elizabeth Catherine Ford) Brown,2,female,40,1,1,39,1
Mr. Thornton Davidson,1,male,31,1,0,52,0
Mr. Henry Michael Mitchell,2,male,70,0,0,10.5,0
Mr. Charles Wilhelms,2,male,31,0,0,13,1
Mr. Ennis Hastings Watson,2,male,19,0,0,0,0
Mr. Gustaf Hjalmar Edvardsson,3,male,18,0,0,7.775,0
Mr. Frederick Charles Sawyer,3,male,24.5,0,0,8.05,0
Miss. Anna Sofia Turja,3,female,18,0,0,9.8417,1
Mrs. Frederick (Augusta Tyler) Goodwin,3,female,43,1,6,46.9,0
Mr. Thomas Drake Martinez Cardeza,1,male,36,0,1,512.3292,1
Miss. Katie Peters,3,female,28,0,0,8.1375,0
Mr. Hammad Hassab,1,male,27,0,0,76.7292,1
Mr. Thor Anderson Olsvigen,3,male,20,0,0,9.225,0
Mr. Charles Edward Goodwin,3,male,14,5,2,46.9,0
Mr. Thomas William Solomon Brown,2,male,60,1,1,39,0
Mr. Joseph Philippe Lemercier Laroche,2,male,25,1,2,41.5792,0
Mr. Jaako Arnold Panula,3,male,14,4,1,39.6875,0
Mr. Branko Dakic,3,male,19,0,0,10.1708,0
Mr. Eberhard Thelander Fischer,3,male,18,0,0,7.7958,0
Miss. Georgette Alexandra Madill,1,female,15,0,1,211.3375,1
Mr. Albert Adrian Dick,1,male,31,1,0,57,1
Miss. Manca Karun,3,female,4,0,1,13.4167,1
Mr. Ali Lam,3,male,37,0,0,56.4958,1
Mr. Khalil Saad,3,male,25,0,0,7.225,0
Col. John Weir,1,male,60,0,0,26.55,0
Mr. Charles Henry Chapman,2,male,52,0,0,13.5,0
Mr. James Kelly,3,male,44,0,0,8.05,0
Miss. Katherine Mullens,3,female,19,0,0,7.7333,1
Mr. John Borland Thayer,1,male,49,1,1,110.8833,0
Mr. Adolf Mathias Nicolai Olsen Humblen,3,male,42,0,0,7.65,0
Mrs. John Jacob (Madeleine Talmadge Force) Astor,1,female,18,1,0,227.525,1
Mr. Spencer Victor Silverthorne,1,male,35,0,0,26.2875,1
Miss. Saiide Barbara,3,female,18,0,1,14.4542,0
Mr. Martin Gallagher,3,male,25,0,0,7.7417,0
Mr. Henrik Juul Hansen,3,male,26,1,0,7.8542,0
Mr. Henry Samuel Morley,2,male,39,0,0,26,0
Mrs. Florence Kelly,2,female,45,0,0,13.5,1
Mr. Edward Pennington Calderhead,1,male,42,0,0,26.2875,1
Miss. Alice Cleaver,1,female,22,0,0,151.55,1
Master. Halim Gonios Moubarek,3,male,4,1,1,15.2458,1
Mlle. Berthe Antonine Mayne,1,female,24,0,0,49.5042,1
Mr. Herman Klaber,1,male,41,0,0,26.55,0
Mr. Elmer Zebley Taylor,1,male,48,1,0,52,1
Mr. August Viktor Larsson,3,male,29,0,0,9.4833,0
Mr. Samuel Greenberg,2,male,52,0,0,13,0
Mr. Peter Andreas Lauritz Andersen Soholt,3,male,19,0,0,7.65,0
Miss. Caroline Louise Endres,1,female,38,0,0,227.525,1
Miss. Edwina Celia Troutt,2,female,27,0,0,10.5,1
Mr. Malkolm Joackim Johnson,3,male,33,0,0,7.775,0
Miss. Annie Jessie Harper,2,female,6,0,1,33,1
Mr. Svend Lauritz Jensen,3,male,17,1,0,7.0542,0
Mr. William Henry Gillespie,2,male,34,0,0,13,0
Mr. Henry Price Hodges,2,male,50,0,0,13,0
Mr. Norman Campbell Chambers,1,male,27,1,0,53.1,1
Mr. Luka Oreskovic,3,male,20,0,0,8.6625,0
Mrs. Peter Henry (Lillian Jefferys) Renouf,2,female,30,3,0,21,1
Miss. Margareth Mannion,3,female,28,0,0,7.7375,1
Mr. Kurt Arnold Gottfrid Bryhl,2,male,25,1,0,26,0
Miss. Pieta Sofia Ilmakangas,3,female,25,1,0,7.925,0
Miss. Elisabeth Walton Allen,1,female,29,0,0,211.3375,1
Mr. Houssein G N Hassan,3,male,11,0,0,18.7875,0
Mr. Robert J Knight,2,male,41,0,0,0,0
Mr. William John Berriman,2,male,23,0,0,13,0
Mr. Moses Aaron Troupiansky,2,male,23,0,0,13,0
Mr. Leslie Williams,3,male,28.5,0,0,16.1,0
Mrs. Edward (Margaret Ann Watson) Ford,3,female,48,1,3,34.375,0
Mr. Gustave J Lesurer,1,male,35,0,0,512.3292,1
Mr. Kanio Ivanoff,3,male,20,0,0,7.8958,0
Mr. Minko Nankoff,3,male,32,0,0,7.8958,0
Mr. Walter James Hawksford,1,male,45,0,0,30,1
Mr. Tyrell William Cavendish,1,male,36,1,0,78.85,0
Miss. Susan Parker Ryerson,1,female,21,2,2,262.375,1
Mr. Neal McNamee,3,male,24,1,0,16.1,0
Mr. Juho Stranden,3,male,31,0,0,7.925,1
Capt. Edward Gifford Crosby,1,male,70,1,1,71,0
Mr. Rossmore Edward Abbott,3,male,16,1,1,20.25,0
Miss. Anna Sinkkonen,2,female,30,0,0,13,1
Mr. Daniel Warner Marvin,1,male,19,1,0,53.1,0
Mr. Michael Connaghton,3,male,31,0,0,7.75,0
Miss. Joan Wells,2,female,4,1,1,23,1
Master. Meier Moor,3,male,6,0,1,12.475,1
Mr. Johannes Joseph Vande Velde,3,male,33,0,0,9.5,0
Mr. Lalio Jonkoff,3,male,23,0,0,7.8958,0
Mrs. Samuel (Jane Laver) Herman,2,female,48,1,2,65,1
Master. Viljo Hamalainen,2,male,0.67,1,1,14.5,1
Mr. August Sigfrid Carlsson,3,male,28,0,0,7.7958,0
Mr. Percy Andrew Bailey,2,male,18,0,0,11.5,0
Mr. Thomas Leonard Theobald,3,male,34,0,0,8.05,0
the Countess. of (Lucy Noel Martha Dyer-Edwards) Rothes,1,female,33,0,0,86.5,1
Mr. John Garfirth,3,male,23,0,0,14.5,0
Mr. Iisakki Antino Aijo Nirva,3,male,41,0,0,7.125,0
Mr. Hanna Assi Barah,3,male,20,0,0,7.2292,1
Mrs. William Ernest (Lucile Polk) Carter,1,female,36,1,2,120,1
Mr. Hans Linus Eklund,3,male,16,0,0,7.775,0
Mrs. John C (Anna Andrews) Hogeboom,1,female,51,1,0,77.9583,1
Dr. Arthur Jackson Brewe,1,male,46,0,0,39.6,0
Miss. Mary Mangan,3,female,30.5,0,0,7.75,0
Mr. Daniel J Moran,3,male,28,1,0,24.15,0
Mr. Daniel Danielsen Gronnestad,3,male,32,0,0,8.3625,0
Mr. Rene Aime Lievens,3,male,24,0,0,9.5,0
Mr. Niels Peder Jensen,3,male,48,0,0,7.8542,0
Mrs. (Mary) Mack,2,female,57,0,0,10.5,0
Mr. Dibo Elias,3,male,29,0,0,7.225,0
Mrs. Elizabeth (Eliza Needs) Hocking,2,female,54,1,3,23,1
Mr. Pehr Fabian Oliver Malkolm Myhrman,3,male,18,0,0,7.75,0
Mr. Roger Tobin,3,male,20,0,0,7.75,0
Miss. Virginia Ethel Emanuel,3,female,5,0,0,12.475,1
Mr. Thomas J Kilgannon,3,male,22,0,0,7.7375,0
Mrs. Edward Scott (Elisabeth Walton McMillan) Robert,1,female,43,0,1,211.3375,1
Miss. Banoura Ayoub,3,female,13,0,0,7.2292,1
Mrs. Albert Adrian (Vera Gillespie) Dick,1,female,17,1,0,57,1
Mr. Milton Clyde Long,1,male,29,0,0,30,0
Mr. Andrew G Johnston,3,male,35,1,2,23.45,0
Mr. William Ali,3,male,25,0,0,7.05,0
Mr. Abraham (David Lishin) Harmer,3,male,25,0,0,7.25,0
Miss. Anna Sofia Sjoblom,3,female,18,0,0,7.4958,1
Master. George Hugh Rice,3,male,8,4,1,29.125,0
Master. Bertram Vere Dean,3,male,1,1,2,20.575,1
Mr. Benjamin Guggenheim,1,male,46,0,0,79.2,0
Mr. Andrew Keane,3,male,20,0,0,7.75,0
Mr. Alfred Gaskell,2,male,16,0,0,26,0
Miss. Stella Anna Sage,3,female,21,8,2,69.55,0
Mr. William Fisher Hoyt,1,male,43,0,0,30.6958,0
Mr. Ristiu Dantcheff,3,male,25,0,0,7.8958,0
Mr. Richard Otter,2,male,39,0,0,13,0
Dr. Alice (Farnham) Leader,1,female,49,0,0,25.9292,1
Mrs. Mara Osman,3,female,31,0,0,8.6833,1
Mr. Yousseff Ibrahim Shawah,3,male,30,0,0,7.2292,0
Mrs. Jean Baptiste (Rosalie Paula Govaert) Van Impe,3,female,30,1,1,24.15,0
Mr. Martin Ponesell,2,male,34,0,0,13,0
Mrs. Harvey (Charlotte Annie Tate) Collyer,2,female,31,1,1,26.25,1
Master. William Thornton II Carter,1,male,11,1,2,120,1
Master. Assad Alexander Thomas,3,male,0.42,0,1,8.5167,1
Mr. Oskar Arvid Hedman,3,male,27,0,0,6.975,1
Mr. Karl Johan Johansson,3,male,31,0,0,7.775,0
Mr. Thomas Jr Andrews,1,male,39,0,0,0,0
Miss. Ellen Natalia Pettersson,3,female,18,0,0,7.775,0
Mr. August Meyer,2,male,39,0,0,13,0
Mrs. Norman Campbell (Bertha Griggs) Chambers,1,female,33,1,0,53.1,1
Mr. William Alexander,3,male,26,0,0,7.8875,0
Mr. James Lester,3,male,39,0,0,24.15,0
Mr. Richard James Slemen,2,male,35,0,0,10.5,0
Miss. Ebba Iris Alfrida Andersson,3,female,6,4,2,31.275,0
Mr. Ernest Portage Tomlin,3,male,30.5,0,0,8.05,0
Mr. Richard Fry,1,male,39,0,0,0,0
Miss. Wendla Maria Heininen,3,female,23,0,0,7.925,0
Mr. Albert Mallet,2,male,31,1,1,37.0042,0
Mr. John Fredrik Alexander Holm,3,male,43,0,0,6.45,0
Master. Karl Thorsten Skoog,3,male,10,3,2,27.9,0
Mrs. Charles Melville (Clara Jennings Gregg) Hays,1,female,52,1,1,93.5,1
Mr. Nikola Lulic,3,male,27,0,0,8.6625,1
Jonkheer. John George Reuchlin,1,male,38,0,0,0,0
Mrs. (Beila) Moor,3,female,27,0,1,12.475,1
Master. Urho Abraham Panula,3,male,2,4,1,39.6875,0
Mr. John Flynn,3,male,36,0,0,6.95,0
Mr. Len Lam,3,male,23,0,0,56.4958,0
Master. Andre Mallet,2,male,1,0,2,37.0042,1
Mr. Thomas Joseph McCormack,3,male,19,0,0,7.75,1
Mrs. George Nelson (Martha Evelyn) Stone,1,female,62,0,0,80,1
Mrs. Antoni (Selini Alexander) Yasbeck,3,female,15,1,0,14.4542,1
Master. George Sibley Richards,2,male,0.83,1,1,18.75,1
Mr. Amin Saad,3,male,30,0,0,7.2292,0
Mr. Albert Augustsson,3,male,23,0,0,7.8542,0
Mr. Owen George Allum,3,male,18,0,0,8.3,0
Miss. Sara Rebecca Compton,1,female,39,1,1,83.1583,1
Mr. Jakob Pasic,3,male,21,0,0,8.6625,0
Mr. Maurice Sirota,3,male,20,0,0,8.05,0
Mr. Chang Chip,3,male,32,0,0,56.4958,1
Mr. Pierre Marechal,1,male,29,0,0,29.7,1
Mr. Ilmari Rudolf Alhomaki,3,male,20,0,0,7.925,0
Mr. Thomas Charles Mudd,2,male,16,0,0,10.5,0
Miss. Augusta Serepeca,1,female,30,0,0,31,1
Mr. Peter L Lemberopolous,3,male,34.5,0,0,6.4375,0
Mr. Jeso Culumovic,3,male,17,0,0,8.6625,0
Mr. Anthony Abbing,3,male,42,0,0,7.55,0
Mr. Douglas Bullen Sage,3,male,18,8,2,69.55,0
Mr. Marin Markoff,3,male,35,0,0,7.8958,0
Rev. John Harper,2,male,28,0,1,33,0
Mrs. Samuel L (Edwiga Grabowska) Goldenberg,1,female,40,1,0,89.1042,1
Master. Sigvard Harald Elias Andersson,3,male,4,4,2,31.275,0
Mr. Johan Svensson,3,male,74,0,0,7.775,0
Miss. Nourelain Boulos,3,female,9,1,1,15.2458,0
Miss. Mary Conover Lines,1,female,16,0,1,39.4,1
Mrs. Ernest Courtenay (Lilian Hughes) Carter,2,female,44,1,0,26,0
Mrs. Sam (Leah Rosen) Aks,3,female,18,0,1,9.35,1
Mrs. George Dennick (Mary Hitchcock) Wick,1,female,45,1,1,164.8667,1
Mr. Peter Denis Daly,1,male,51,0,0,26.55,1
Mrs. Solomon (Latifa Qurban) Baclini,3,female,24,0,3,19.2583,1
Mr. Raihed Razi,3,male,30,0,0,7.2292,0
Mr. Claus Peter Hansen,3,male,41,2,0,14.1083,0
Mr. Frederick Edward Giles,2,male,21,1,0,11.5,0
Mrs. Frederick Joel (Margaret Welles Barron) Swift,1,female,48,0,0,25.9292,1
Miss. Dorothy Edith Sage,3,female,14,8,2,69.55,0
Mr. John William Gill,2,male,24,0,0,13,0
Mrs. (Karolina) Bystrom,2,female,42,0,0,13,1
Miss. Asuncion Duran y More,2,female,27,1,0,13.8583,1
Mr. Washington Augustus II Roebling,1,male,31,0,0,50.4958,0
Mr. Philemon van Melkebeke,3,male,23,0,0,9.5,0
Master. Harold Theodor Johnson,3,male,4,1,1,11.1333,1
Mr. Cerin Balkic,3,male,26,0,0,7.8958,0
Mrs. Richard Leonard (Sallie Monypeny) Beckwith,1,female,47,1,1,52.5542,1
Mr. Frans Olof Carlsson,1,male,33,0,0,5,0
Mr. Victor Vander Cruyssen,3,male,47,0,0,9,0
Mrs. Samuel (Hannah Wizosky) Abelson,2,female,28,1,0,24,1
Miss. Adele Kiamie Najib,3,female,15,0,0,7.225,1
Mr. Alfred Ossian Gustafsson,3,male,20,0,0,9.8458,0
Mr. Nedelio Petroff,3,male,19,0,0,7.8958,0
Mr. Kristo Laleff,3,male,23,0,0,7.8958,0
Mrs. Thomas Jr (Lily Alexenia Wilson) Potter,1,female,56,0,1,83.1583,1
Mrs. William (Imanita Parrish Hall) Shelley,2,female,25,0,1,26,1
Mr. Johann Markun,3,male,33,0,0,7.8958,0
Miss. Gerda Ulrika Dahlberg,3,female,22,0,0,10.5167,0
Mr. Frederick James Banfield,2,male,28,0,0,10.5,0
Mr. Henry Jr Sutehall,3,male,25,0,0,7.05,0
Mrs. William (Margaret Norton) Rice,3,female,39,0,5,29.125,0
Rev. Juozas Montvila,2,male,27,0,0,13,0
Miss. Margaret Edith Graham,1,female,19,0,0,30,1
Miss. Catherine Helen Johnston,3,female,7,1,2,23.45,0
Mr. Karl Howell Behr,1,male,26,0,0,30,1
Mr. Patrick Dooley,3,male,32,0,0,7.75,0